sheet,Category,Ligand_ori,Ligand,Concentraction (mM),mean,n,sd,sem,type
Leco13,No ligand,No ligand,No ligand,No ligand,2.9619000636666666,6,0.8777124466347637,0.35832460585749687,WT
Leco13,Sugar,100 mM Sucrose,Sucrose,100,23.860687617333333,6,2.7862060974466942,1.1374638761626044,WT
MyiCay13,No ligand,No ligand,No ligand,No ligand,2.2832556543333333,6,0.7586958551301127,0.30973628583888724,WT
MyiCay13,Sugar,100 mM Sucrose,Sucrose,100,2.5201032646666666,6,1.3785791132212935,0.5628025662417814,WT
Neo13,No ligand,No ligand,No ligand,No ligand,2.84199267,6,0.39361533748423894,0.16069278862829706,WT
Neo13,Sugar,100 mM Sucrose,Sucrose,100,12.250916798333334,6,3.9734897402478357,1.622170393631878,WT
Tham1Tham3,No ligand,No ligand,No ligand,No ligand,2.584501969833333,6,0.7029628788917893,0.2869833935671286,WT
Tham1Tham3,Sugar,100 mM Sucrose,Sucrose,100,2.2927315295,6,0.9055416855336156,0.3696858450628636,WT
AncAllManT1R1T1R3,No ligand,No ligand,No ligand,No ligand,3.139143343,6,0.5659040297608477,0.23102935271647718,anc
AncAllManT1R1T1R3,Sugar,100 mM Sucrose,Sucrose,100,6.726644142333333,6,0.9915507182794523,0.4047988856458019,anc
AncFlyManT1R1T1R3,No ligand,No ligand,No ligand,No ligand,1.9809881968333334,6,0.4065606717100469,0.16597769919546648,anc
AncFlyManT1R1T1R3,Sugar,100 mM Sucrose,Sucrose,100,2.2380870484999997,6,0.2107265610640159,0.08602875830971334,anc
AF1-18)-AM3-39),No ligand,No ligand,No ligand,No ligand,2.258466826333333,6,0.4721511429365608,0.19275489694441,chimera
AF1-18)-AM3-39),Sugar,100 mM Sucrose,Sucrose,100,4.786146426166667,6,0.6777813885284749,0.27670309317497327,chimera
AF1-18)-FM3,No ligand,No ligand,No ligand,No ligand,2.4294361556666666,6,0.6795222814443319,0.2774138097317525,chimera
AF1-18)-FM3,Sugar,100 mM Sucrose,Sucrose,100,1.6815619425000001,6,0.36058884593521473,0.1472097799133887,chimera
AFM1-AF3-116,No ligand,No ligand,No ligand,No ligand,1.82988532,6,0.27636025745579024,0.11282360265847943,chimera
AFM1-AF3-116,Sugar,100 mM Sucrose,Sucrose,100,2.907701636666667,6,1.0225217561017248,0.41744275889063626,chimera
